indice_relatorio_analise_de_capacidades;index_codigo_unidade;index_datas;Relatórios de Analise de Capacidade
[A1] Dias Úteis;API;2021-06;23.0
[A1] Dias Úteis;API;2021-07;24.5
[A1] Dias Úteis;API;2021-08;24.0
[A1] Dias Úteis;API;2021-09;23.0
[A1] Dias Úteis;API;2021-10;22.5
[A1] Dias Úteis;API;2021-11;22.0
[A1] Dias Úteis;API;2021-12;23.5
[A1] Dias Úteis;API;2022-01;23.0
[A1] Dias Úteis;API;2022-02;21.0
[A1] Dias Úteis;API;2022-03;24.0
[A1] Dias Úteis;API;2022-04;21.5
[A1] Dias Úteis;API;2022-05;24.0
[A1] Dias Úteis;API;2022-06;23.0
[A1] Dias Úteis;API;2022-07;23.5
[A1] Dias Úteis;API;2022-08;25.0
[A1] Dias Úteis;API;2022-09;23.0
[A1] Dias Úteis;API;2022-10;22.5
[A1] Dias Úteis;API;2022-11;22.0
[A1] Dias Úteis;API;2022-12;-
[A1] Dias Úteis;API;2023-01;-
[A1] Dias Úteis;API;2023-02;-
[A1] Dias Úteis;API;2023-03;-
[A1] Dias Úteis;API;2023-04;-
[A1] Dias Úteis;API;2023-05;-
[A1] Dias Úteis;BDQ;2021-06;23.0
[A1] Dias Úteis;BDQ;2021-07;24.5
[A1] Dias Úteis;BDQ;2021-08;24.0
[A1] Dias Úteis;BDQ;2021-09;23.0
[A1] Dias Úteis;BDQ;2021-10;22.5
[A1] Dias Úteis;BDQ;2021-11;22.0
[A1] Dias Úteis;BDQ;2021-12;23.5
[A1] Dias Úteis;BDQ;2022-01;23.0
[A1] Dias Úteis;BDQ;2022-02;21.0
[A1] Dias Úteis;BDQ;2022-03;24.0
[A1] Dias Úteis;BDQ;2022-04;21.5
[A1] Dias Úteis;BDQ;2022-05;24.0
[A1] Dias Úteis;BDQ;2022-06;23.0
[A1] Dias Úteis;BDQ;2022-07;23.5
[A1] Dias Úteis;BDQ;2022-08;25.0
[A1] Dias Úteis;BDQ;2022-09;23.0
[A1] Dias Úteis;BDQ;2022-10;22.5
[A1] Dias Úteis;BDQ;2022-11;22.0
[A1] Dias Úteis;BDQ;2022-12;-
[A1] Dias Úteis;BDQ;2023-01;-
[A1] Dias Úteis;BDQ;2023-02;-
[A1] Dias Úteis;BDQ;2023-03;-
[A1] Dias Úteis;BDQ;2023-04;-
[A1] Dias Úteis;BDQ;2023-05;-
[A1] Dias Úteis;CAF;2021-06;23.0
[A1] Dias Úteis;CAF;2021-07;24.5
[A1] Dias Úteis;CAF;2021-08;24.0
[A1] Dias Úteis;CAF;2021-09;23.0
[A1] Dias Úteis;CAF;2021-10;22.5
[A1] Dias Úteis;CAF;2021-11;22.0
[A1] Dias Úteis;CAF;2021-12;23.5
[A1] Dias Úteis;CAF;2022-01;23.0
[A1] Dias Úteis;CAF;2022-02;21.0
[A1] Dias Úteis;CAF;2022-03;24.0
[A1] Dias Úteis;CAF;2022-04;21.5
[A1] Dias Úteis;CAF;2022-05;24.0
[A1] Dias Úteis;CAF;2022-06;23.0
[A1] Dias Úteis;CAF;2022-07;23.5
[A1] Dias Úteis;CAF;2022-08;25.0
[A1] Dias Úteis;CAF;2022-09;23.0
[A1] Dias Úteis;CAF;2022-10;22.5
[A1] Dias Úteis;CAF;2022-11;22.0
[A1] Dias Úteis;CAF;2022-12;-
[A1] Dias Úteis;CAF;2023-01;-
